_id,id,name,has_lights,park,field_usage,goal_post,infield_type,left_field_distance,center_field_distance,right_field_distance,backstop,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
108,1597058500,West Penn Field 1,True,West Penn Park,Diamond and Rectangular,0,Skinned,269,330,365,NA,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45557937,-79.97117551
96,511331628,Southside Field  1,True,Southside Park,Diamond Only,0,Grass with Skinned Baselines,200,200,200,NA,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41878296,-79.97875109
97,87399270,Spring Hill,True,Spring Hill Park,Diamond Only,0,Skinned,270,310,315,NA,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.47032069,-79.99233115
98,430836911,Stan Lederman,True,Frick Park,Diamond Only,0,Skinned,189,193,190,NA,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.42981022,-79.91340111
99,865000373,Sullivan,True,Sullivan Park,Diamond and Rectangular,1,Skinned,260,310,230,NA,Lower Lawrenceville,7,6,42003060300,2,6,2,3-6,40.46250255,-79.9635156
104,1670802431,Volunteers Field 3,False,Volunteers Park,Diamond Only,0,Skinned,195,175,196,NA,Carrick,4,29,42003290100,3,29,3,4-23,40.39813954,-79.99260253
105,1701480993,Volunteers Field 4,False,Volunteers Park,Diamond Only,0,Skinned,105,105,125,NA,Carrick,4,29,42003290100,3,29,3,4-23,40.39738996,-79.99444553
106,329648686,Wabash,False,Wabash Park,Diamond and Rectangular,0,Grass,N/A,N/A,N/A,NA,West End,2,20,42003562600,5,20,6,1-17,40.43895466,-80.03413741
107,451363663,Warrington,False,Warrington Park,Diamond Only,0,Skinned,206,276,200,NA,Beltzhoover,3,18,42003562400,5,18,3,4-5,40.42141426,-80.00169191
109,707227758,Westwood Field 1,True,Westwood School,Diamond and Rectangular,0,Skinned,347,230,187,NA,Westwood,2,28,42003563100,5,28,6,1-18,40.43077283,-80.05044239
110,88488317,Westwood Field 2,True,Westwood School,Diamond and Rectangular,0,Skinned,360,255,160,NA,Westwood,2,28,42003563100,5,28,6,1-18,40.43028489,-80.05022829
111,1139931087,Wightman,False,Wightman Park,Diamond Only,0,Skinned,268,195,167,NA,Squirrel Hill North,8,14,42003140300,3,14,4,2-18,40.44340232,-79.9271516
112,916748391,Willie Stargell,True,Homewood Park,Diamond and Rectangular,0,Skinned,365,295,225,NA,Homewood South,9,13,42003130300,2,13,5,3-17,40.45381487,-79.89970807
113,2031862261,Winters,False,Winters Park,Diamond Only,0,Skinned,230,210,165,NA,South Side Slopes,3,17,42003170600,3,17,3,4-3,40.42230596,-79.98151326
